Season,Team,MP,W,D,L,GF,GA,GD,Points
2010/2011 Season,Man United,38,23,11,4,78,37,41,80
2010/2011 Season,Chelsea,38,21,8,9,69,33,36,71
2010/2011 Season,Man City,38,21,8,9,60,33,27,71
2010/2011 Season,Arsenal,38,19,11,8,72,43,29,68
2011/2012 Season,Man City,38,28,5,5,93,29,64,89
2011/2012 Season,Man United,38,28,5,5,89,33,56,89
2011/2012 Season,Arsenal,38,21,7,10,74,49,25,70
2011/2012 Season,Tottenham,38,20,9,9,66,41,25,69
2012/2013 Season,Man United,38,28,5,5,86,43,43,89
2012/2013 Season,Man City,38,23,9,6,66,34,32,78
2012/2013 Season,Chelsea,38,22,9,7,75,39,36,75
2012/2013 Season,Arsenal,38,21,10,7,72,37,35,73
2013/2014 Season,Man City,38,27,5,6,102,37,65,86
2013/2014 Season,Liverpool,38,26,6,6,101,50,51,84
2013/2014 Season,Chelsea,38,25,7,6,71,27,44,82
2013/2014 Season,Arsenal,38,24,7,7,68,41,27,79
2014/2015 Season,Chelsea,38,26,9,3,73,32,41,87
2014/2015 Season,Man City,38,24,7,7,83,38,45,79
2014/2015 Season,Arsenal,38,22,9,7,71,36,35,75
2014/2015 Season,Man United,38,20,10,8,62,37,25,70
2015/2016 Season,Leicester,38,23,12,3,68,36,32,81
2015/2016 Season,Arsenal,38,20,11,7,65,36,29,71
2015/2016 Season,Tottenham,38,19,13,6,69,35,34,70
2015/2016 Season,Man City,38,19,9,10,71,41,30,66
2016/2017 Season,Chelsea,38,30,3,5,85,33,52,93
2016/2017 Season,Tottenham,38,26,8,4,86,26,60,86
2016/2017 Season,Man City,38,23,9,6,80,39,41,78
2016/2017 Season,Liverpool,38,22,10,6,78,42,36,76
2017/2018 Season,Man City,38,32,4,2,106,27,79,100
2017/2018 Season,Man United,38,25,6,7,68,28,40,81
2017/2018 Season,Tottenham,38,23,8,7,74,36,38,77
2017/2018 Season,Liverpool,38,21,12,5,84,38,46,75
2018/2019 Season,Man City,38,32,2,4,95,23,72,98
2018/2019 Season,Liverpool,38,30,7,1,89,22,67,97
2018/2019 Season,Chelsea,38,21,9,8,63,39,24,72
2018/2019 Season,Tottenham,38,23,2,13,67,39,28,71
2019/2020 Season,Liverpool,38,32,3,3,85,33,52,99
2019/2020 Season,Man City,38,26,3,9,102,35,67,81
2019/2020 Season,Man United,38,18,12,8,66,36,30,66
2019/2020 Season,Chelsea,38,20,6,12,69,54,15,66
