Season,Team,MP,W,D,L,GF,GA,GD,Points
2010/2011 Season,Lille,38,21,13,4,68,36,32,76
2010/2011 Season,Marseille,38,18,14,6,62,39,23,68
2010/2011 Season,Lyon,38,17,13,8,61,40,21,64
2010/2011 Season,Paris SG,38,15,15,8,56,41,15,60
2011/2012 Season,Montpellier,38,25,7,6,68,34,34,82
2011/2012 Season,Paris SG,38,23,10,5,75,41,34,79
2011/2012 Season,Lille,38,21,11,6,72,39,33,74
2011/2012 Season,Lyon,38,19,7,12,64,51,13,64
2012/2013 Season,Paris SG,38,25,8,5,69,23,46,83
2012/2013 Season,Marseille,38,21,8,9,42,36,6,71
2012/2013 Season,Lyon,38,19,10,9,61,38,23,67
2012/2013 Season,Nice,38,18,10,10,57,46,11,64
2013/2014 Season,Paris SG,38,27,8,3,84,23,61,89
2013/2014 Season,Monaco,38,23,11,4,63,31,32,80
2013/2014 Season,Lille,38,20,11,7,46,26,20,71
2013/2014 Season,St Etienne,38,20,9,9,56,34,22,69
2014/2015 Season,Paris SG,38,24,11,3,83,36,47,83
2014/2015 Season,Lyon,38,22,9,7,72,33,39,75
2014/2015 Season,Monaco,38,20,11,7,51,26,25,71
2014/2015 Season,Marseille,38,21,6,11,76,42,34,69
2015/2016 Season,Paris SG,38,30,6,2,102,19,83,96
2015/2016 Season,Lyon,38,19,8,11,67,43,24,65
2015/2016 Season,Monaco,38,17,14,7,57,50,7,65
2015/2016 Season,Nice,38,18,9,11,58,41,17,63
2016/2017 Season,Monaco,38,30,5,3,107,31,76,95
2016/2017 Season,Paris SG,38,27,6,5,83,27,56,87
2016/2017 Season,Nice,38,22,12,4,63,36,27,78
2016/2017 Season,Lyon,38,20,5,13,77,48,29,65
2017/2018 Season,Paris SG,38,29,6,3,108,79,29,93
2017/2018 Season,Monaco,38,24,8,6,85,40,45,80
2017/2018 Season,Lyon,38,23,9,6,87,44,43,78
2017/2018 Season,Marseille,38,22,11,5,80,33,47,77
2018/2019 Season,Paris SG,38,29,4,5,105,35,70,91
2018/2019 Season,Lille,38,22,9,7,68,33,35,75
2018/2019 Season,Lyon,38,21,9,8,70,47,23,72
2018/2019 Season,St Etienne,38,19,9,10,59,41,18,66
2019/2020 Season,Paris SG,27,22,2,3,75,24,51,68
2019/2020 Season,Marseille,28,16,8,4,41,29,12,56
2019/2020 Season,Rennes,28,15,5,8,38,24,14,50
2019/2020 Season,Lille,28,15,4,9,35,27,8,49
