Season,Team,MP,W,D,L,GF,GA,GD,Points
2010/2011 Season,Dortmund,34,23,6,5,67,22,45,75
2010/2011 Season,Leverkusen,34,20,8,6,64,44,20,68
2010/2011 Season,Bayern Munich,34,19,8,7,81,40,41,65
2010/2011 Season,Hannover,34,19,3,12,49,45,4,60
2011/2012 Season,Dortmund,34,25,6,3,80,25,55,81
2011/2012 Season,Bayern Munich,34,23,4,7,77,22,55,73
2011/2012 Season,Schalke 04,34,20,4,10,74,44,30,64
2011/2012 Season,M'gladbach,34,17,9,8,49,24,25,60
2012/2013 Season,Bayern Munich,34,29,4,1,98,18,80,91
2012/2013 Season,Dortmund,34,19,9,6,81,42,39,66
2012/2013 Season,Leverkusen,34,19,8,7,65,39,26,65
2012/2013 Season,Schalke 04,34,16,7,11,58,50,8,55
2013/2014 Season,Bayern Munich,34,29,3,2,94,23,71,90
2013/2014 Season,Dortmund,34,22,5,7,80,38,42,71
2013/2014 Season,Schalke 04,34,19,7,8,63,43,20,64
2013/2014 Season,Leverkusen,34,19,4,11,60,41,19,61
2014/2015 Season,Bayern Munich,34,25,4,5,80,18,62,79
2014/2015 Season,Wolfsburg,34,20,9,5,72,38,34,69
2014/2015 Season,M'gladbach,34,19,9,6,53,26,27,66
2014/2015 Season,Leverkusen,34,17,10,7,62,37,25,61
2015/2016 Season,Bayern Munich,34,28,4,2,80,17,63,88
2015/2016 Season,Dortmund,34,24,6,4,82,34,48,78
2015/2016 Season,Leverkusen,34,18,6,10,56,40,16,60
2015/2016 Season,M'gladbach,34,17,4,13,67,50,17,55
2016/2017 Season,Bayern Munich,34,25,7,2,89,22,67,82
2016/2017 Season,RB Leipzing,34,20,7,7,66,39,27,67
2016/2017 Season,Dortmund,34,18,10,6,72,40,32,64
2016/2017 Season,Hoffenheim,34,16,14,4,64,37,27,62
2017/2018 Season,Bayern Munich,34,27,3,4,92,28,64,84
2017/2018 Season,Schalke 04,34,18,9,7,53,37,16,63
2017/2018 Season,Hoffenheim,34,15,10,9,66,48,18,55
2017/2018 Season,Dortmund,34,15,10,9,64,47,17,55
2018/2019 Season,Bayern Munich,34,24,6,4,88,32,56,78
2018/2019 Season,Dortmund,34,23,7,4,81,44,37,76
2018/2019 Season,RB Leipzing,34,19,9,6,63,29,34,66
2018/2019 Season,Leverkusen,34,18,4,12,69,52,17,58
2019/2020 Season,Bayern Munich,34,26,4,4,100,32,68,82
2019/2020 Season,Dortmund,34,21,6,7,84,41,43,69
2019/2020 Season,RB Leipzing,34,18,12,4,81,37,44,66
2019/2020 Season,M'gladbach,34,20,5,9,66,40,26,65
