Season,Team,MP,W,D,L,GF,GA,GD,Points
2010/2011 Season,Milan,38,24,10,4,65,24,41,82
2010/2011 Season,Inter,38,23,7,8,69,42,27,76
2010/2011 Season,Napoli,38,21,7,10,59,39,20,70
2010/2011 Season,Udinese,38,20,6,12,65,43,22,66
2011/2012 Season,Juventus,38,23,15,0,68,20,48,84
2011/2012 Season,Milan,38,24,8,6,74,33,41,80
2011/2012 Season,Udinese,38,18,10,10,52,35,17,64
2011/2012 Season,Lazio,38,18,8,12,56,47,9,62
2012/2013 Season,Juventus,38,27,6,5,71,24,47,87
2012/2013 Season,Napoli,38,23,9,6,73,36,37,78
2012/2013 Season,Milan,38,21,9,8,67,39,28,72
2012/2013 Season,Fiorentina,38,21,7,10,72,44,28,70
2013/2014 Season,Juventus,38,33,3,2,80,23,57,102
2013/2014 Season,Roma,38,26,7,5,72,25,47,85
2013/2014 Season,Napoli,38,23,9,6,77,39,38,78
2013/2014 Season,Fiorentina,38,19,8,11,65,44,21,65
2014/2015 Season,Juventus,38,26,9,3,72,24,48,87
2014/2015 Season,Roma,38,19,13,6,54,31,23,70
2014/2015 Season,Lazio,38,21,6,11,71,38,33,69
2014/2015 Season,Fiorentina,38,18,10,10,61,46,15,64
2015/2016 Season,Juventus,38,29,4,5,75,20,55,91
2015/2016 Season,Napoli,38,25,7,6,80,32,48,82
2015/2016 Season,Roma,38,23,11,4,83,41,42,80
2015/2016 Season,Inter,38,20,7,11,50,38,12,67
2016/2017 Season,Juventus,38,29,4,5,77,27,50,91
2016/2017 Season,Roma,38,28,3,7,90,38,52,87
2016/2017 Season,Napoli,38,26,8,4,94,39,55,86
2016/2017 Season,Atalanta,38,21,9,8,62,41,21,72
2017/2018 Season,Juventus,38,30,5,3,86,24,62,95
2017/2018 Season,Napoli,38,28,7,3,77,29,48,91
2017/2018 Season,Roma,38,23,8,7,61,28,33,77
2017/2018 Season,Lazio,38,21,9,8,89,49,40,72
2018/2019 Season,Juventus,38,28,6,4,70,30,40,90
2018/2019 Season,Napoli,38,24,7,7,74,36,38,79
2018/2019 Season,Atalanta,38,20,9,9,77,46,31,69
2018/2019 Season,Inter,38,20,9,9,57,33,24,69
2019/2020 Season,Juventus,38,26,5,7,76,43,33,83
2019/2020 Season,Inter,38,24,10,4,81,36,45,82
2019/2020 Season,Atalanta,38,23,9,6,98,48,50,78
2019/2020 Season,Lazio,38,24,6,8,79,42,37,78
