Season,Team,MP,W,D,L,GF,GA,GD,Points
2010/2011 Season,Barcelona,38,30,6,2,95,21,74,96
2010/2011 Season,Real Madrid,38,29,5,4,102,33,69,92
2010/2011 Season,Valencia,38,21,8,9,64,44,20,71
2010/2011 Season,Villarreal,38,18,8,12,54,44,10,62
2011/2012 Season,Real Madrid,38,32,4,2,121,32,89,100
2011/2012 Season,Barcelona,38,28,7,3,114,29,85,91
2011/2012 Season,Valencia,38,17,10,11,59,44,15,61
2011/2012 Season,Malaga,38,17,7,14,54,53,1,58
2012/2013 Season,Barcelona,38,32,4,2,115,40,75,100
2012/2013 Season,Real Madrid,38,26,7,5,103,42,61,85
2012/2013 Season,Ath Madrid,38,23,7,8,65,31,34,76
2012/2013 Season,Sociedad,38,18,12,8,70,49,21,66
2013/2014 Season,Ath Madrid,38,28,6,4,77,26,51,90
2013/2014 Season,Barcelona,38,27,6,5,100,33,67,87
2013/2014 Season,Real Madrid,38,27,6,5,104,38,66,87
2013/2014 Season,Ath Bilbao,38,20,10,8,66,39,27,70
2014/2015 Season,Barcelona,38,30,4,4,100,21,79,94
2014/2015 Season,Real Madrid,38,30,2,6,118,38,80,92
2014/2015 Season,Ath Madrid,38,23,9,6,67,29,38,78
2014/2015 Season,Valencia,38,22,11,5,70,32,38,77
2015/2016 Season,Barcelona,38,29,4,5,112,29,83,91
2015/2016 Season,Real Madrid,38,28,6,4,110,34,76,90
2015/2016 Season,Ath Madrid,38,28,4,6,63,18,45,88
2015/2016 Season,Villarreal,38,18,10,10,44,35,9,64
2016/2017 Season,Real Madrid,38,29,6,3,106,41,65,93
2016/2017 Season,Barcelona,38,28,6,4,116,37,79,90
2016/2017 Season,Ath Madrid,38,23,9,6,70,27,43,78
2016/2017 Season,Sevilla,38,21,9,8,69,49,20,72
2017/2018 Season,Barcelona,38,28,9,1,99,29,70,93
2017/2018 Season,Ath Madrid,38,23,10,5,58,22,36,79
2017/2018 Season,Real Madrid,38,22,10,6,94,44,50,76
2017/2018 Season,Valencia,38,22,7,9,65,38,27,73
2018/2019 Season,Barcelona,38,26,9,3,90,36,54,87
2018/2019 Season,Ath Madrid,38,22,10,6,55,29,26,76
2018/2019 Season,Real Madrid,38,21,5,12,63,46,17,68
2018/2019 Season,Valencia,38,15,16,7,51,35,16,61
2019/2020 Season,Real Madrid,38,26,9,3,70,25,45,87
2019/2020 Season,Barcelona,38,25,7,6,86,38,48,82
2019/2020 Season,Ath Madrid,38,18,16,4,51,27,24,70
2019/2020 Season,Sevilla,38,19,13,6,54,34,20,70
